channel_name,hashtag,key_hex,channel_hash,description,region
Public,False,8b3387e9c5cdea6ac9e5edbaa115cd72,17,"Default public channel (fixed PSK, not hashtag-derived)",global
#test,True,9cd8fcf22a47333b591d96a2b848b73f,156,Global testing channel,global
#testing,True,cde5e82cf515647dcb547a79a4f065d1,205,Testing (alternate name),global
#ping,True,3cae16fd067ba9c32a98be22e9b98525,60,Ping-bot testing channel,global
#emergency,True,e1ad578d25108e344808f30dfdaaf926,225,Emergency communications,global
#hamradio,True,83c8b01997654265938da8765cbc7db9,131,HAM radio operators,global
#qrv,True,4d6de18b9bb6ef3f7c7197e8441044ed,77,HAM QSO coordination/logging,global
#hard-software,True,c4419524d9ce72ac093fdd2a0a856595,196,Hardware/software discussion & troubleshooting,global
#blackout,True,75420460f335577fa27cdd20dacf9edd,117,Power outage info/notifications,global
#warnings,True,31d44d29ed676f8020dc09211a2ee9d8,49,General warnings channel,global
#aurora-alert,True,e823127951fc6a425abe0c65ac07b323,232,Aurora/northern lights alerts,global
#flachwitze,True,ec98cd8821fada7fe21ff9e1df6c619f,236,Jokes channel (German flat jokes),global
#general,True,4c49f3f24629f5ee4ad5b3965db47985,76,General chat (common default),global
#switzerland,True,8ad1ce57ad257627090ed28413c1f0b7,138,Swiss national channel,CH
#svizzera,True,e571e6921d9c19d1c393f2ba9286abba,229,Italian-speaking Switzerland,CH
#suisse,True,2b8dd2d22f0820d9945316be97359ab1,43,French-speaking Switzerland,CH
#chtest,True,ee95ca5221f5b41941b26d89fd702c37,238,Swiss testing channel,CH
#bern,True,7658cadca2e40ba98cb13ce19782e994,118,Bern region,CH
#zuerich,True,15d09e6787401c4fdbef4bf10ffcef53,21,Zürich canton/city,CH
#wallis,True,1e65af5328cec2c29d03c77a5dfb8cb8,30,Wallis/Valais canton,CH
#freiburg,True,ec1c88f03aad858a6d74ec36ac04c420,236,"Freiburg (DE, near CH border)",CH/DE
#netzstatus,True,e84d5ce15046d5a7f69db3a40f604851,232,"Network status, mainly Germany",DE
#muenchen,True,3f50b3350a8ed17a303f07e9641dff4a,63,Munich area,DE
#hansemesh,True,21ddee26dc5215153c3903165fd4262f,33,HanseMesh community (Hamburg),DE
#de-sn-dd,True,c252cf274c306e76d9531fdf96f8dfa0,194,Dresden/Saxony test channel,DE
#berlin,True,8bffd7b0bf481d92afc625e409b88a16,139,Berlin (mentioned in MeshCore tutorial),DE
#hamburg,True,6ee6b4b98d5856392596cc1929eb2e36,110,Hamburg area,DE
